store_id,store_name,city,state,region,opened_date
STR001,New Johnton Distribution 1,South Dianeshire,North Dakota,West,2022-03-16
STR002,Jamesmouth Distribution 2,West Randy,Texas,West,2023-08-09
STR003,Stephenland Distribution 3,South Christineshire,Connecticut,West,2021-03-03
STR004,New Joseph Distribution 4,Nicolebury,Mississippi,South,2022-01-26
STR005,South Martha Distribution 5,Cherylhaven,Alabama,West,2023-09-13
STR006,Sarahville Distribution 6,West Darrell,Connecticut,South,2024-01-07
STR007,West Juan Distribution 7,Lake Matthew,Utah,West,2023-07-23
STR008,Williamview Distribution 8,North Cynthiaview,Arizona,South,2020-11-15
STR009,Kellieview Distribution 9,Lake Scott,Virginia,South,2022-09-05
STR010,North Charlesberg Distribution 10,Port Mikeside,Georgia,North,2022-09-08
STR011,North Kyle Distribution 11,West Jasonbury,Texas,East,2021-04-18
STR012,Kimberlychester Distribution 12,East Michelle,Idaho,West,2024-08-10
STR013,Johnsonmouth Distribution 13,Phambury,Louisiana,East,2021-07-15
STR014,South Monicafort Distribution 14,East Lisa,New Jersey,East,2022-05-07
STR015,Loribury Distribution 15,North Donna,Montana,North,2022-04-03
STR016,Michelleview Distribution 16,Darlenefurt,Utah,East,2024-06-12
STR017,Sheilaville Distribution 17,Gregoryview,Arizona,East,2021-04-27
STR018,Reedmouth Distribution 18,Obrienhaven,Delaware,West,2022-07-01
STR019,West Bradley Distribution 19,Smithside,Utah,South,2023-12-02
STR020,West Ryan Distribution 20,Cindyville,Washington,West,2024-09-08
STR021,Williamchester Distribution 21,Richardport,Oklahoma,West,2021-05-26
STR022,South Elizabeth Distribution 22,Byrdburgh,South Carolina,East,2023-04-13
STR023,Richardtown Distribution 23,Justinchester,Pennsylvania,East,2023-06-10
STR024,Stevenmouth Distribution 24,New Thomas,West Virginia,West,2021-07-31
STR025,West Zacharymouth Distribution 25,Port Stephaniebury,Utah,West,2022-03-07
STR026,Port James Distribution 26,North Johnfort,South Carolina,East,2024-06-22
STR027,South Robertshire Distribution 27,Lake Heather,New York,South,2022-07-23
STR028,East Diana Distribution 28,Port Michelleville,Wyoming,South,2022-09-01
STR029,East Linda Distribution 29,Williamsbury,Delaware,West,2022-10-20
STR030,Port Steven Distribution 30,Stephaniemouth,South Carolina,South,2024-04-29
STR031,Rivasside Distribution 31,Merrittfort,New Hampshire,West,2021-12-17
STR032,Port Dana Distribution 32,Simsview,New Hampshire,North,2021-03-10
STR033,Jimmymouth Distribution 33,Patricialand,Florida,East,2021-07-02
STR034,South Heather Distribution 34,North Robert,Michigan,West,2023-03-02
STR035,Perryborough Distribution 35,Priceshire,Vermont,West,2020-12-10
STR036,Woodsstad Distribution 36,Karenchester,Ohio,West,2024-01-15
STR037,South Jeffrey Distribution 37,Tuckerfurt,Michigan,South,2023-09-15
STR038,Ramseymouth Distribution 38,New Amanda,Montana,West,2023-05-18
STR039,North Dawnberg Distribution 39,Whiteview,Missouri,North,2022-04-02
STR040,South Mark Distribution 40,Ramirezchester,Kentucky,South,2024-05-29
STR041,South Andrewside Distribution 41,West Jeffreyland,Wyoming,East,2023-08-19
STR042,Port Anthonybury Distribution 42,Port Andrew,Georgia,North,2021-11-15
STR043,South Elizabeth Distribution 43,South Holly,Wyoming,West,2022-06-06
STR044,New Catherine Distribution 44,Port Loriport,Connecticut,North,2023-04-27
STR045,West Barbarafurt Distribution 45,Davidborough,California,West,2023-05-18
STR046,North Heidi Distribution 46,Melissaville,Oregon,North,2024-03-09
STR047,West Amandastad Distribution 47,New Deborahtown,Nebraska,South,2024-05-10
STR048,Garciastad Distribution 48,Zimmermanchester,Idaho,West,2023-12-24
STR049,Christinaside Distribution 49,Marshallshire,Louisiana,South,2022-03-25
STR050,Port Sarah Distribution 50,Nicolebury,Wisconsin,North,2022-11-01
